"","Code","fid","Provinces","Districts","Governance.Units","Name.of.Government.Unit"
"1",10105,1,"Koshi Province","Taplejung","Rural Municipality","Aatharai Tribeni Rural Municipality"
"2",10104,2,"Koshi Province","Taplejung","Rural Municipality","Maiwakhola Rural Municipality"
"3",10103,3,"Koshi Province","Taplejung","Rural Municipality","Meringden Rural Municipality"
"4",10102,4,"Koshi Province","Taplejung","Rural Municipality","Mikwakhola Rural Municipality"
"5",10101,5,"Koshi Province","Taplejung","Rural Municipality","Phaktanlung Rural Municipality"
"6",10106,6,"Koshi Province","Taplejung","Municipality ","Phungling Municipality"
"7",10109,7,"Koshi Province","Taplejung","Rural Municipality","Sidingba Rural Municipality"
"8",10108,8,"Koshi Province","Taplejung","Rural Municipality","Sirijanga Rural Municipality"
"9",10107,9,"Koshi Province","Taplejung","Rural Municipality","Pathibhara Yangwarak Rural Municipality"
"10",10903,10,"Koshi Province","Panchthar","Rural Municipality","Falelung Rural Municipality"
"11",10905,11,"Koshi Province","Panchthar","Rural Municipality","Falgunanda Rural Municipality"
"12",10902,12,"Koshi Province","Panchthar","Rural Municipality","Hilihan Rural Municipality"
"13",10906,13,"Koshi Province","Panchthar","Rural Municipality","Kummayak Rural Municipality"
"14",10908,14,"Koshi Province","Panchthar","Rural Municipality","Miklajung Rural Municipality"
"15",10904,15,"Koshi Province","Panchthar","Municipality ","Phidim Municipality"
"16",10907,16,"Koshi Province","Panchthar","Rural Municipality","Tumbewa Rural Municipality"
"17",10901,17,"Koshi Province","Panchthar","Rural Municipality","Yangbarak Rural Municipality"
"18",11007,18,"Koshi Province","Ilam","Rural Municipality","Chulachuli Rural Municipality"
"19",11004,19,"Koshi Province","Ilam","Municipality ","Deumai Municipality"
"20",11005,20,"Koshi Province","Ilam","Rural Municipality","Fakfokathum Rural Municipality"
"21",11003,21,"Koshi Province","Ilam","Municipality ","Ilam Municipality"
"22",11008,22,"Koshi Province","Ilam","Municipality ","Mai Municipality"
"23",11001,23,"Koshi Province","Ilam","Rural Municipality","Mai Jogmai Rural Municipality"
"24",11006,24,"Koshi Province","Ilam","Rural Municipality","Mangsebung Rural Municipality"
