Code,Governance Units,Provinces,Districts,Name of Government Unit
101,District,1,Taplejung,TAPLEJUNG
102,District,1,Sankhuwasabha,SANKHUWASABHA
103,District,1,Solukhumbu,SOLUKHUMBU
104,District,1,Okhaldhunga,OKHALDHUNGA
105,District,1,Khotang,KHOTANG
106,District,1,Bhojpur,BHOJPUR
107,District,1,Dhankuta,DHANKUTA
108,District,1,Terhathum,TERHATHUM
109,District,1,Panchthar,PANCHTHAR
110,District,1,Ilam,ILAM
111,District,1,Jhapa,JHAPA
112,District,1,Morang,MORANG
113,District,1,Sunsari,SUNSARI
114,District,1,Udayapur,UDAYAPUR
201,District,2,Saptari,SAPTARI
202,District,2,Siraha,SIRAHA
203,District,2,Dhunasa,DHANUSA
204,District,2,Mohattari,MAHOTTARI
205,District,2,Sarlahi,SARLAHI
206,District,2,Rautahat,RAUTAHAT
207,District,2,Bara,BARA
208,District,2,Parsa,PARSA
301,District,3,Dolakha,DOLAKHA
302,District,3,Sindhupalchok,SINDHUPALCHOK
303,District,3,Rasuwa,RASUWA
304,District,3,Dhading,DHADING
305,District,3,Nuwakot,NUWAKOT
306,District,3,Kathmandu,KATHMANDU
307,District,3,Bhaktapur,BHAKTAPUR
308,District,3,Lalitpur,LALITPUR
309,District,3,Kavrepalanchok,KAVREPALANCHOK
310,District,3,Ramechhap,RAMECHHAP
311,District,3,Sindhuli,SINDHULI
312,District,3,Makwanpur,MAKWANPUR
313,District,3,Chitwan,CHITAWAN
401,District,4,Gorkha,GORKHA
402,District,4,Manang,MANANG
403,District,4,Mustang,MUSTANG
404,District,4,Myagdi,MYAGDI
405,District,4,Kaski,KASKI
406,District,4,Lamjung,LAMJUNG
407,District,4,Tanahu,TANAHU
408,District,4,Nawalparasi East,NAWALPARASI EAST
409,District,4,Syangja,SYANGJA
410,District,4,Parbat,PARBAT
411,District,4,Baglung,BAGLUNG
501,District,5,Rukum East,RUKUM EAST
502,District,5,Rolpa,ROLPA
503,District,5,Pyuthan,PYUTHAN
504,District,5,Gulmi,GULMI
505,District,5,Arghakhanchi,ARGHAKHANCHI
506,District,5,Palpa,PALPA
507,District,5,Nawalparasi West,NAWALPARASI WEST
508,District,5,Rupandehi,RUPANDEHI
509,District,5,Kapilbastu,KAPILBASTU
510,District,5,Dang,DANG
511,District,5,Banke,BANKE
512,District,5,Bardiya,BARDIYA
601,District,6,Dolpa,DOLPA
602,District,6,Mugu,MUGU
603,District,6,Humla,HUMLA
604,District,6,Jumla,JUMLA
605,District,6,Kalikot,KALIKOT
606,District,6,Dailekh,DAILEKH
607,District,6,Jajarkot,JAJARKOT
608,District,6,Rukum West,RUKUM WEST
609,District,6,Salyan,SALYAN
610,District,6,Surkhet,SURKHET
701,District,7,Bajura,BAJURA
702,District,7,Bajhang,BAJHANG
703,District,7,Darchula,DARCHULA
704,District,7,Baitadi,BAITADI
705,District,7,Dadeldhura,DADELDHURA
706,District,7,Doti,DOTI
707,District,7,Achham,ACHHAM
708,District,7,Kailali,KAILALI
709,District,7,Kanchanpur,KANCHANPUR
