"","Code","Governance.Units.x","Provinces.x","Districts.x","Name.of.Government.Unit.x","Children.Immunized.BCG.Doses","Children.Immunized.DPT.HepB.Hib.1st","Children.Immunized.DPT.HepB.Hib.3rd","Children.Immunized.OPV.3rd","Children.Immunized.PCV.3rd","Children.Immunized.Measles.Rubella.12.23.Months","Children.Immunized.JE","Pregnant.women.Immunized.TD.Pregnant.Women..2","Pregnant.women.Immunized.TD.Pregnant.Women..2.","Fully.Immunized.Children","Health.Facilities.within.Catchment.Area.Immunization.Sessions.Planned","Health.Facilities.within.Catchment.Area.Immunization.Sessions.Planned.months","Health.Facilities.within.Catchment.Area.Immunization.Sessions.Conducted","Safe.Motherhood.Program..Birth.Weight.Low.and.Very.low....2.5.kg.","Registered.for.GM.New.Visit.0.11.Months...Normal","Registered.for.GM.New.Visit.0.11.Months...Moderate","Registered.for.GM.New.Visit.0.11.Months...Severe","Registered.for.GM.New.Visit.12.23.Months...Normal","Registered.for.GM.New.Visit.12.23.Months...Moderate","Registered.for.GM.New.Visit.12.23.Months...Severe","X..5yr.Children.Receiving.Vitamin.A.6.59.Months..sharwan.Poush.2074.","Nutrition...5yr.Children.Receiving.Deworming.Tab..Sharwan.poush.2074.","CBIMCI..2.59Months..Classification.Diarrhoea.No.Dehydration","CBIMCI..2.59Months..Classification.Diarrhoea.Some.Dehydration","CBIMCI..2.59Months..Classification.Diarrhoea.Severe.Dehydration","FCHV.Program.CBIMCI..2.59.Months.Total.Diarrhoea.Cases","CBIMCI..2.59Months..Treatment.ORS...Zinc","FCHV.Program.CBIMCI..2.59.Months.Treated.with.ORS...Zinc","Total.Diarrhoea.cases","Total.diarrhoea.treated.with.ORS.and.zinc","CBIMCI..2.59Months..Classification.ARI.No.Pneumonia","CBIMCI..2.59Months..Classification.ARI.Pneumonia","CBIMCI..2.59Months..Classification.ARI.Severe.Pneu.Very.Severe.Disease","FCHV.Program.CBIMCI..2.59.Months.Total.cases.ARI","Total.ARI.cases","Total.Pneumonia.cases..at.HF...Outreach.","CBIMCI..2.59Months..Treatment.Amoxicillin","CBIMCI..2.59Months..Treatment.Cotrim.Paediatrics","CBIMCI..2.59Months..Treatment.Other.Antibiotics.Facility","Safe.Motherhood.Program.Antenatal.Checkup.First.ANC.Visit..any.time...20.Years","Safe.Motherhood.Program.Antenatal.Checkup.First.ANC.Visit..any.time...20.Years.1","Safe.Motherhood.Program.Antenatal.Checkup.Four.ANC.Visits.as.per.Protocol..20.Years","Safe.Motherhood.Program.Antenatal.Checkup.Four.ANC.Visits.as.per.Protocol..20.Years.1","Nutrition.Pregnant.Women.Receiving.180.Iron.Tablets","Safe.Motherhood.Program.Delivery.Service.Non.SBA.Health.Workers.Facility","Safe.Motherhood.Program.Delivery.Service.Non.SBA.Health.Workers.Home","Safe.Motherhood.Program.Delivery.Service.Skilled.Birth.Attendants..SBA.Facility","Safe.Motherhood.Program.Delivery.Service.Skilled.Birth.Attendants..SBA.Home","Safe.Motherhood.Program.3.PNC.Visits.as.per.Protocol","FCHV.Program.Maternal.Death.Antepartum","FCHV.Program.Maternal.Death.Intrapartum","FCHV.Program.Maternal.Death.Postpartum","Safe.Motherhood.Program.Maternal.Death.Antepartum","Safe.Motherhood.Program.Maternal.Death.Intrapartum","Safe.Motherhood.Program.Maternal.Death.Postpartum","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Medical","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Surgical","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Medical.1","Safe.Motherhood.Program.Safe.Abortion.Service.Number.of.Women...20.Years.Surgical.1","CBIMCI..2Months.Total.Death...28.Days..Facility","CBIMCI..2Months.Total.Death...28.Days..OutReach.Clinics","FCHV.Program.Death..28.days","Safe.Motherhood.Program.Maternal.Death.Neonatal.death.at.Health.Facility","Total.number.of.neonatal.deaths","Family.Planning.Program.Temporary.FP.Method.Pills.Current.User","Family.Planning.Program.Temporary.FP.Method.Implant.Current.User","Family.Planning.Program.Temporary.FP.Method.IUCD.Current.User","Family.Planning.Program.Temporary.FP.Method.Depo.Current.User","Family.Planning.Program.Temporary.FP.Method.Condom.Pieces.Qty.150","Family.Planning.Program.Postpartum.FP.Acceptors..Within.48.Hours.of.Delivery..IUCD","Family.Planning.Program.Postpartum.FP.Acceptors..Within.48.Hours.of.Delivery..Implant","Family.Planning.Program.Postpartum.FP.Acceptors..Within.48.Hours.of.Delivery..Tubectomy","Total.FCHVs.within.Catchment.Area","FCHV.Program.SMH.FP.Meetings.Held.of.Mothers.Group","Health.Facilities.within.Catchment.Area.Outreach.Clinics.Planned.months","Health.Facilities.within.Catchment.Area.Outreach.Clinics.Conducted","HIV.Tested.in.HTC.Program","HIV.found.Positive.in.HTC.Program","Outpatient.Morbidity.Communicable.Vector.Borne.Filariasis.Cases","Outpatient.Morbidity.Trachoma.Cases","No..of.new.TB.cases.registered","TB.PBC..new..registered.cases","TB.PBC..new..treatment.completed....cured.and.completed..cases","Malaria..Total.number.of.positive.cases","Number.of..P..Falciparum..PF..cases","Malaria..Diagnosis...Result.Examined","Malaria..Blood.Slide.Collection","Leprosy.Total.Additions.New.Cases.Never.Registered.earlier.Multi.Bacillary","Leprosy.Total.Additions.New.Cases.Never.registered.earlier.Pauci.Bacillary","Leprosy.Patient..from.OPD.","Total.New.OPD.Visits.Female","Total.New.OPD.Visits.Male","fid","Provinces.y","Districts.y","Governance.Units.y","Name.of.Government.Unit.y"
"1",10101,"Rural Municipality","Province 1","Taplejung","Phaktanlung Rural Municipality",282,297,283,280,261,178,383,146,72,220,206,17,161,0,300,0,0,84,5,0,1037,844,318,98,0,478,382,434,894,"816",682,256,6,535,1479,262,200,63,9,69,143,22,77,109,16,1,72,0,40,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,94,209,36,311,105,0,0,0,111,789,"25",276,0,0,0,3,3,2,0,0,0,0,0,0,0,0,5777,5397,5,"Koshi Province","Taplejung","Rural Municipality","Phaktanlung Rural Municipality"
"2",10102,"Rural Municipality","Province 1","Taplejung","Mikwakhola Rural Municipality",177,193,191,194,187,138,173,56,33,146,129,11,115,2,199,5,1,68,1,0,748,675,198,34,0,524,236,447,756,"683",310,51,0,576,937,51,38,8,3,35,127,14,43,127,0,39,37,0,41,0,1,1,0,0,0,0,0,0,0,0,0,5,0,5,35,43,12,180,56,0,0,0,63,172,"14",138,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2846,2626,4,"Koshi Province","Taplejung","Rural Municipality","Mikwakhola Rural Municipality"
"3",10103,"Rural Municipality","Province 1","Taplejung","Meringden Rural Municipality",252,221,215,226,209,175,205,117,55,220,183,15,174,3,278,0,0,24,1,0,1187,1049,227,82,0,364,291,382,673,"673",507,116,5,491,1119,121,98,9,3,50,195,14,53,70,10,9,71,2,19,0,0,0,0,0,0,5,5,5,5,0,0,3,1,4,87,179,107,285,64,0,0,0,108,676,"18",203,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4512,4462,3,"Koshi Province","Taplejung","Rural Municipality","Meringden Rural Municipality"
"4",10104,"Rural Municipality","Province 1","Taplejung","Maiwakhola Rural Municipality",192,194,192,200,193,134,180,84,43,178,102,9,93,0,240,1,1,173,2,1,1283,1146,195,41,0,274,194,287,510,"481",492,69,0,350,911,69,53,3,42,36,164,6,53,49,3,5,37,0,17,0,0,1,0,0,1,0,0,9,0,0,0,9,0,9,43,126,38,116,62,0,0,0,67,457,"8",81,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3682,3087,2,"Koshi Province","Taplejung","Rural Municipality","Maiwakhola Rural Municipality"
"5",10105,"Rural Municipality","Province 1","Taplejung","Aatharai Tribeni Rural Municipality",278,278,271,271,236,234,249,116,107,249,201,17,188,0,415,16,1,226,16,0,1945,1819,304,72,0,410,378,382,786,"760",741,95,1,273,1110,96,69,20,5,70,174,34,121,153,12,13,79,0,61,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,97,217,50,297,82,0,0,0,72,330,"15",175,0,0,0,2,6,0,0,0,0,0,0,0,0,0,6499,5771,1,"Koshi Province","Taplejung","Rural Municipality","Aatharai Tribeni Rural Municipality"
"6",10106,"Municipality ","Province 1","Taplejung","Phungling Municipality",722,623,548,539,529,478,605,520,74,210,203,17,163,17,491,40,2,50,4,0,481,434,271,156,0,1055,304,782,1482,"1086",607,160,0,1024,1791,160,107,37,6,125,522,29,183,197,0,0,718,0,240,0,0,0,0,0,0,13,17,156,279,0,0,3,2,5,62,466,45,421,612,0,0,1,100,673,"20",197,0,0,0,59,25,18,18,0,0,0,0,0,0,0,19182,16347,6,"Koshi Province","Taplejung","Municipality ","Phungling Municipality"
"7",10107,"Rural Municipality","Province 1","Taplejung","Yangwarak Rural Municipality",260,268,241,244,223,203,263,143,67,229,201,17,192,1,342,0,0,132,0,0,1118,1006,213,52,0,630,297,834,895,"1131",730,251,0,527,1508,251,208,20,2,65,160,16,76,107,2,1,35,2,16,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5,41,227,18,139,55,0,1,0,95,580,"24",282,0,0,0,1,4,0,0,0,0,600,600,0,0,0,5497,4580,9,"Koshi Province","Taplejung","Rural Municipality","Pathibhara Yangwarak Rural Municipality"
"8",10108,"Rural Municipality","Province 1","Taplejung","Sirijanga Rural Municipality",240,251,248,265,267,218,274,144,49,236,264,22,222,1,255,2,2,109,0,0,1210,1065,153,164,11,281,288,292,609,"580",735,222,10,994,1961,232,195,26,7,45,167,16,93,133,5,16,22,4,17,0,0,0,0,0,0,0,0,2,0,0,0,6,0,6,114,179,103,335,82,0,0,0,152,1138,"29",312,0,0,0,0,2,3,0,0,0,0,0,0,0,0,7237,6449,8,"Koshi Province","Taplejung","Rural Municipality","Sirijanga Rural Municipality"
"9",10109,"Rural Municipality","Province 1","Taplejung","Sidingba Rural Municipality",208,234,209,204,184,191,238,106,82,213,158,13,147,3,273,22,0,107,7,0,1049,926,154,27,0,335,187,308,516,"495",590,149,3,349,1091,152,122,22,22,99,141,19,49,86,1,52,28,2,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,142,238,43,248,30,1,0,0,104,910,"25",298,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4283,3714,7,"Koshi Province","Taplejung","Rural Municipality","Sidingba Rural Municipality"
"10",10201,"Rural Municipality","Province 1","Sankhuwasabha","Bhotkhola Rural Municipality",130,141,154,151,118,83,146,32,32,216,92,8,67,0,107,0,0,59,3,0,448,396,233,24,0,6,230,21,263,"251",246,58,12,8,324,70,83,93,230,18,74,1,24,30,2,0,30,4,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,24,34,8,204,9,1,0,0,30,30,"9",54,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3728,3006,86,"Koshi Province","Sankhuwasabha","Rural Municipality","Bhotkhola Rural Municipality"
