"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1",10105,1,"Rural Municipality","Koshi Province","Taplejung","Aatharai Tribeni Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"2",10104,2,"Rural Municipality","Koshi Province","Taplejung","Maiwakhola Rural Municipality",0,1,2,0,3,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"3",10103,3,"Rural Municipality","Koshi Province","Taplejung","Meringden Rural Municipality",0,0,6,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"4",10102,4,"Rural Municipality","Koshi Province","Taplejung","Mikwakhola Rural Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"5",10101,5,"Rural Municipality","Koshi Province","Taplejung","Phaktanlung Rural Municipality",0,0,7,0,2,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
"6",10106,6,"Municipality ","Koshi Province","Taplejung","Phungling Municipality",1,0,4,2,3,0,10,5,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"7",10109,7,"Rural Municipality","Koshi Province","Taplejung","Sidingba Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"8",10108,8,"Rural Municipality","Koshi Province","Taplejung","Sirijanga Rural Municipality",0,1,7,0,1,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,"Total health facilities (Public and Non-Public) "
"9",10107,9,"Rural Municipality","Koshi Province","Taplejung","Pathibhara Yangwarak Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"10",10903,10,"Rural Municipality","Koshi Province","Panchthar","Falelung Rural Municipality",0,0,4,0,2,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"11",10905,11,"Rural Municipality","Koshi Province","Panchthar","Falgunanda Rural Municipality",0,0,6,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"12",10902,12,"Rural Municipality","Koshi Province","Panchthar","Hilihan Rural Municipality",0,1,4,0,1,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"13",10906,13,"Rural Municipality","Koshi Province","Panchthar","Kummayak Rural Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"14",10908,14,"Rural Municipality","Koshi Province","Panchthar","Miklajung Rural Municipality",0,1,5,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"15",10904,15,"Municipality ","Koshi Province","Panchthar","Phidim Municipality",1,0,8,1,1,0,11,4,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"16",10907,16,"Rural Municipality","Koshi Province","Panchthar","Tumbewa Rural Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"17",10901,17,"Rural Municipality","Koshi Province","Panchthar","Yangbarak Rural Municipality",0,0,5,0,1,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"18",11007,18,"Rural Municipality","Koshi Province","Ilam","Chulachuli Rural Municipality",0,0,2,0,2,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"19",11004,19,"Municipality ","Koshi Province","Ilam","Deumai Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"20",11005,20,"Rural Municipality","Koshi Province","Ilam","Fakfokathum Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"21",11003,21,"Municipality ","Koshi Province","Ilam","Ilam Municipality",1,0,7,2,1,1,12,3,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"22",11008,22,"Municipality ","Koshi Province","Ilam","Mai Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"23",11001,23,"Rural Municipality","Koshi Province","Ilam","Mai Jogmai Rural Municipality",0,1,4,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"24",11006,24,"Rural Municipality","Koshi Province","Ilam","Mangsebung Rural Municipality",0,0,3,0,1,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"25",11010,25,"Rural Municipality","Koshi Province","Ilam","Rong Rural Municipality",0,0,4,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"26",11002,26,"Rural Municipality","Koshi Province","Ilam","Sandakpur Rural Municipality",0,0,5,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"27",11009,27,"Municipality ","Koshi Province","Ilam","Suryodaya Municipality",0,2,6,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"28",11103,28,"Municipality ","Koshi Province","Jhapa","Arjundhara Municipality",0,1,2,0,0,0,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"29",11111,29,"Rural Municipality","Koshi Province","Jhapa","Barhadashi Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"30",11114,30,"Municipality ","Koshi Province","Jhapa","Bhadrapur Municipality",1,0,3,1,0,1,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"31",11112,31,"Municipality ","Koshi Province","Jhapa","Birtamod Municipality",0,0,3,0,0,0,3,15,18,NA,NA,NA,NA,NA,NA,NA,NA,""
"32",11102,32,"Rural Municipality","Koshi Province","Jhapa","Buddhashanti Rural Municipality",0,0,2,0,1,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"33",11107,33,"Municipality ","Koshi Province","Jhapa","Damak Municipality",0,0,1,3,0,0,4,9,13,NA,NA,NA,NA,NA,NA,NA,NA,""
"34",11108,34,"Municipality ","Koshi Province","Jhapa","Gauradaha Municipality",0,0,5,1,0,0,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"35",11109,35,"Rural Municipality","Koshi Province","Jhapa","Gauriganj Rural Municipality",0,1,3,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
