Code,Governance Units,Provinces,Districts,Name of Government Unit,Total population,Total expected live birth,Population under 1 year,Population 12 - 23 months,Nutrition (0-23 Month),Nutrition (6-23 months),Population under 5 years ARI/ CDD/ Nutrition,Population aged 6-59 months,Nutrition (12-59 Month),Adolescent population aged 10-19 years,Female population aged 15-49 years,Married Female population aged 15-49 years,Total expected pregnancies
10101,Rural Municipality,Province 1,Taplejung,Phaktanlung Rural Municipality,12237,277,268,266,534,400,1282,1148,1014,2646,3434,2603,327
10102,Rural Municipality,Province 1,Taplejung,Mikwakhola Rural Municipality,9304,211,204,241,445,343,1052,950,848,2050,2653,2011,249
10103,Rural Municipality,Province 1,Taplejung,Meringden Rural Municipality,13657,309,299,293,592,443,1432,1283,1133,2780,3618,2742,364
10104,Rural Municipality,Province 1,Taplejung,Maiwakhola Rural Municipality,11246,255,246,281,527,404,1280,1157,1034,2460,3191,2419,301
10105,Rural Municipality,Province 1,Taplejung,Aatharai Tribeni Rural Municipality,14013,317,307,297,604,451,1454,1301,1147,2928,4090,3100,374
10106,Municipality ,Province 1,Taplejung,Phungling Municipality,27472,622,603,478,1081,778,2528,2225,1925,5615,8689,6587,733
10107,Rural Municipality,Province 1,Taplejung,Yangwarak Rural Municipality,13801,312,302,280,582,431,1349,1198,1047,3038,4151,3146,368
10108,Rural Municipality,Province 1,Taplejung,Sirijanga Rural Municipality,16108,365,353,358,711,535,1673,1497,1320,3465,4833,3663,430
10109,Rural Municipality,Province 1,Taplejung,Sidingba Rural Municipality,12293,278,269,262,531,397,1293,1159,1024,2655,3559,2698,328
10201,Rural Municipality,Province 1,Sankhuwasabha,Bhotkhola Rural Municipality,6497,147,142,162,304,233,744,673,602,1360,1676,1270,173
10202,Rural Municipality,Province 1,Sankhuwasabha,Makalu Rural Municipality,13431,304,294,334,628,481,1550,1403,1256,2915,3571,2707,358
10203,Rural Municipality,Province 1,Sankhuwasabha,Silichong Rural Municipality,11682,265,256,243,499,371,1215,1087,959,2626,3260,2471,313
10204,Rural Municipality,Province 1,Sankhuwasabha,Chichila Rural Municipality,7059,160,155,144,299,222,681,604,526,1516,2055,1558,189
10205,Rural Municipality,Province 1,Sankhuwasabha,Sabhapokhari Rural Municipality,10261,232,225,197,422,310,1033,921,808,2321,2933,2223,274
10206,Municipality ,Province 1,Sankhuwasabha,Khandabari Municipality,31552,715,693,578,1271,922,2914,2565,2221,6296,9454,7166,843
10207,Municipality ,Province 1,Sankhuwasabha,Panchakhapan Municipality,17215,390,377,411,788,600,1918,1730,1541,3737,5006,3795,460
10208,Municipality ,Province 1,Sankhuwasabha,Chainapur Municipality,27174,615,596,586,1182,884,2796,2498,2200,5675,8234,6241,725
10209,Municipality ,Province 1,Sankhuwasabha,Madi Municipality,14288,324,313,301,614,458,1436,1280,1123,3017,4438,3364,382
10210,Municipality ,Province 1,Sankhuwasabha,Dharmadevi Municipality,17932,406,393,370,763,567,1819,1623,1426,3897,5530,4192,479
10301,Rural Municipality,Province 1,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,9339,206,200,150,350,250,754,654,554,1484,2873,2178,243
10302,Rural Municipality,Province 1,Solukhumbu,Mahakulung Rural Municipality,11127,246,238,330,568,449,1553,1434,1315,2324,2881,2184,290
10303,Rural Municipality,Province 1,Solukhumbu,Sotang Rural Municipality,9240,204,197,211,408,310,1057,959,860,2019,2507,1900,241
10304,Rural Municipality,Province 1,Solukhumbu,Dhudhakoshi Rural Municipality,13060,288,279,290,569,430,1399,1260,1120,2866,3677,2787,340
10305,Rural Municipality,Province 1,Solukhumbu,Dhudha Koushika Rural Municipality,19103,422,408,455,863,659,2050,1846,1642,4245,5450,4131,498
10306,Rural Municipality,Province 1,Solukhumbu,Necha Salyan Rural Municipality,15700,346,335,311,646,479,1540,1373,1205,3332,4565,3460,408
10307,Municipality ,Province 1,Solukhumbu,Solu Dhudhakunda Municipality,20632,456,441,353,794,572,1758,1536,1317,4571,6228,4721,537
10308,Rural Municipality,Province 1,Solukhumbu,Likhu Pike Rural Municipality,5394,119,115,113,228,171,528,471,413,1186,1497,1135,140
10401,Rural Municipality,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,15247,352,341,323,664,494,1593,1423,1252,3319,4530,3434,415
10402,Municipality ,Province 1,Okhaldhunga,Siddhicharan Municipality,30084,696,673,553,1226,887,2771,2432,2098,5799,9365,7099,821
10403,Rural Municipality,Province 1,Okhaldhunga,Molung Rural Municipality,16697,386,374,363,737,550,1736,1549,1362,3427,4990,3782,455
10404,Rural Municipality,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,15671,362,351,311,662,487,1593,1418,1242,3437,4373,3315,427
10405,Rural Municipality,Province 1,Okhaldhunga,Likhu Rural Municipality,14085,326,315,304,619,462,1451,1294,1136,3215,4036,3059,384
10406,Rural Municipality,Province 1,Okhaldhunga,Champadevi Rural Municipality,18823,435,421,455,876,666,2167,1957,1746,4116,5630,4268,513
10407,Rural Municipality,Province 1,Okhaldhunga,Sunkoshi Rural Municipality,18732,433,419,413,832,623,1972,1763,1553,4142,5622,4261,511
10408,Rural Municipality,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,21542,498,482,449,931,690,2165,1924,1683,4554,6707,5084,587
10501,Rural Municipality,Province 1,Khotang,Kepilasgadhi Rural Municipality,13451,307,297,295,592,444,1421,1273,1124,2970,3909,2963,362
10502,Rural Municipality,Province 1,Khotang,Aiselukharka Rural Municipality,14246,325,315,301,616,459,1426,1269,1111,3068,4344,3293,383
10503,Rural Municipality,Province 1,Khotang,Lamidanda Rural Municipality,11774,269,260,257,517,387,1221,1091,961,2563,3559,2698,317
10504,Municipality ,Province 1,Khotang,Halesi Tuwachung Municipality,26078,596,577,593,1170,882,2835,2547,2258,5772,7582,5747,703
10505,Municipality ,Province 1,Khotang,Rupakot Majhuwagadhi Municipality,43345,990,959,829,1788,1307,4094,3613,3135,8797,13218,10019,1168
10506,Rural Municipality,Province 1,Khotang,Sakela Rural Municipality,10282,235,227,191,418,305,949,836,722,2272,3070,2327,277
10507,Rural Municipality,Province 1,Khotang,Diprung Rural Municipality,17924,409,396,405,801,603,1943,1745,1547,3733,5330,4040,482
10508,Rural Municipality,Province 1,Khotang,Khotehang Rural Municipality,19903,455,440,418,858,638,2036,1816,1596,4231,5893,4467,537
10509,Rural Municipality,Province 1,Khotang,Jante Dhunga Rural Municipality,13769,315,304,297,601,449,1436,1284,1132,2887,3840,2911,371
10510,Rural Municipality,Province 1,Khotang,Baraha Pokhari Rural Municipality,12739,291,282,288,570,429,1443,1302,1161,2661,3647,2764,343
10601,Municipality ,Province 1,Bhojpur,Shadananda Municipality,28253,638,617,601,1218,910,2945,2637,2328,6020,8241,6247,752
10602,Rural Municipality,Province 1,Bhojpur,Salpa Silichho Rural Municipality,11612,262,254,293,547,420,1381,1254,1127,2583,3209,2432,309
10603,Rural Municipality,Province 1,Bhojpur,Tyamke Maiyum Rural Municipality,16205,366,354,315,669,492,1577,1400,1223,3552,4816,3651,432
10604,Municipality ,Province 1,Bhojpur,Bhojpur Municipality,25829,584,564,477,1041,757,2316,2032,1752,5090,7696,5833,690
10605,Rural Municipality,Province 1,Bhojpur,Arun Rural Municipality,15846,358,346,373,719,546,1724,1551,1378,3417,4734,3588,422
10606,Rural Municipality,Province 1,Bhojpur,Pauwa Dunma Rural Municipality,13860,313,303,306,609,458,1415,1264,1112,2895,4149,3145,369
10607,Rural Municipality,Province 1,Bhojpur,Ramprasad Rai Rural Municipality,16867,381,369,349,718,534,1731,1547,1362,3772,4987,3780,449
10608,Rural Municipality,Province 1,Bhojpur,Hatuwagadhi Rural Municipality,18354,414,401,345,746,546,1761,1561,1360,3846,5364,4066,488
10609,Rural Municipality,Province 1,Bhojpur,Aamchowk Rural Municipality,16885,381,369,412,781,597,1938,1754,1569,3597,4769,3615,449
10701,Municipality ,Province 1,Dhankuta,Mahalaxmi Municipality,25407,588,569,558,1127,843,2749,2465,2180,5719,7490,5677,693
10702,Municipality ,Province 1,Dhankuta,Pakhribas Municipality,22678,525,508,482,990,736,2362,2108,1854,4869,6954,5271,619
10703,Rural Municipality,Province 1,Dhankuta,Chhathar Jorpati Rural Municipality,18888,437,423,409,832,621,1944,1733,1521,4277,5895,4468,515
10704,Municipality ,Province 1,Dhankuta,Dhankuta Municipality,40961,949,918,690,1608,1147,3625,3164,2707,7935,12576,9533,1121
10705,Rural Municipality,Province 1,Dhankuta,Khalsa Chhintang Sahidbhumi Rural Municipality,19304,447,433,480,913,697,2260,2044,1827,4014,5278,4001,527
10706,Rural Municipality,Province 1,Dhankuta,Sangurigadhi Rural Municipality,22236,515,498,462,960,711,2194,1945,1696,4740,6652,5042,607
10707,Rural Municipality,Province 1,Dhankuta,Chaubise Rural Municipality,19847,460,445,475,920,698,2199,1977,1754,4362,6022,4565,542
10801,Rural Municipality,Province 1,Terhathum,Aatharai Rural Municipality,21615,503,487,449,936,693,2283,2040,1796,4526,6356,4818,593
10802,Rural Municipality,Province 1,Terhathum,Phedap Rural Municipality,17497,407,394,366,760,563,1765,1568,1371,3944,5222,3958,480
10803,Rural Municipality,Province 1,Terhathum,Menchhayayem Rural Municipality,8055,187,181,180,361,271,871,781,690,1618,2420,1834,221
10804,Municipality ,Province 1,Terhathum,Myanglung Municipality,20598,480,464,394,858,624,1979,1745,1515,3925,6180,4686,565
10805,Municipality ,Province 1,Terhathum,Laligurans Municipality,16918,394,381,390,771,581,1819,1629,1438,3734,5234,3967,465
10806,Rural Municipality,Province 1,Terhathum,Chhathar Rural Municipality,16559,385,373,343,716,530,1643,1457,1270,3723,5152,3905,454
10901,Rural Municipality,Province 1,Panchthar,Yangbarak Rural Municipality,18752,431,417,407,824,616,2032,1824,1615,3908,5420,4108,508
10902,Rural Municipality,Province 1,Panchthar,Hilihan Rural Municipality,23446,538,521,595,1116,856,2673,2413,2152,4900,6914,5241,634
10903,Rural Municipality,Province 1,Panchthar,Falelung Rural Municipality,22316,512,496,412,908,660,2178,1930,1682,4815,6689,5070,604
10904,Municipality ,Province 1,Panchthar,Phidim Municipality,51850,1192,1152,986,2138,1559,4981,4402,3829,10741,15688,11891,1406
10905,Rural Municipality,Province 1,Panchthar,Falgunanda Rural Municipality,24707,567,549,535,1084,810,2566,2292,2017,5212,7310,5541,669
10906,Rural Municipality,Province 1,Panchthar,Kummayak Rural Municipality,16338,375,363,341,704,523,1635,1454,1272,3571,4847,3674,442
10907,Rural Municipality,Province 1,Panchthar,Tumbewa Rural Municipality,13564,311,301,315,616,466,1471,1321,1170,3104,4001,3033,367
10908,Rural Municipality,Province 1,Panchthar,Miklajung Rural Municipality,25065,576,557,539,1096,818,2544,2266,1987,5353,7534,5711,679
11001,Rural Municipality,Province 1,Ilam,Mai Jogmai Rural Municipality,22180,492,476,444,920,682,2121,1883,1645,4668,6309,4782,580
11002,Rural Municipality,Province 1,Ilam,Sandakpur Rural Municipality,16891,375,363,326,689,508,1623,1442,1260,3499,4955,3756,442
11003,Municipality ,Province 1,Ilam,Ilam Municipality,52237,1160,1120,1052,2172,1610,5183,4621,4063,10495,15378,11658,1367
11004,Municipality ,Province 1,Ilam,Deumai Municipality,34679,769,745,741,1486,1114,3616,3244,2871,7592,10011,7588,907
11005,Rural Municipality,Province 1,Ilam,Fakfokathum Rural Municipality,22813,506,490,593,1083,838,2669,2424,2179,5230,6511,4935,597
11006,Rural Municipality,Province 1,Ilam,Mangsebung Rural Municipality,19612,435,421,520,941,731,2343,2133,1922,4521,5205,3945,513
11007,Rural Municipality,Province 1,Ilam,Chulachuli Rural Municipality,22777,505,489,601,1090,846,2669,2425,2180,4882,6520,4942,596
11008,Municipality ,Province 1,Ilam,Mai Municipality,35119,779,754,875,1629,1252,4151,3774,3397,7990,9771,7406,919
11009,Municipality ,Province 1,Ilam,Suryodaya Municipality,59972,1331,1288,992,2280,1636,5175,4531,3887,11877,17810,13500,1570
11010,Rural Municipality,Province 1,Ilam,Rong Rural Municipality,20101,446,432,391,823,607,1906,1690,1474,4378,5728,4342,526
11101,Municipality ,Province 1,Jhapa,Mechinagar Municipality,124522,2850,2758,2247,5005,3626,11493,10114,8735,26036,37487,28415,3361
11102,Rural Municipality,Province 1,Jhapa,Buddhashanti Rural Municipality,45782,1048,1014,750,1764,1257,4001,3494,2987,9943,14028,10633,1236
11103,Municipality ,Province 1,Jhapa,Arjundhara Municipality,66641,1525,1476,1262,2738,2000,6412,5674,4936,14178,20080,15221,1798
11104,Municipality ,Province 1,Jhapa,Kankai Municipality,44323,1015,982,1008,1990,1499,4679,4188,3697,9386,13325,10100,1197
11105,Municipality ,Province 1,Jhapa,Shivasatakshi Municipality,71127,1628,1576,1401,2977,2189,6964,6176,5388,15348,21524,16315,1920
11106,Rural Municipality,Province 1,Jhapa,Kamal Rural Municipality,49210,1126,1090,996,2086,1541,4835,4290,3745,9997,14711,11151,1328
11107,Municipality ,Province 1,Jhapa,Damak Municipality,83664,1915,1853,1581,3434,2505,7959,7030,6106,17615,26040,19738,2258
11108,Municipality ,Province 1,Jhapa,Gauradaha Municipality,58258,1334,1291,1315,2606,1961,6122,5477,4831,11966,16783,12722,1573
11109,Rural Municipality,Province 1,Jhapa,Gauriganj Rural Municipality,36479,835,808,962,1770,1366,4424,4020,3616,7754,10037,7608,985
11110,Rural Municipality,Province 1,Jhapa,Jhapa Rural Municipality,38147,873,845,1038,1883,1461,4976,4554,4131,8502,10175,7713,1029
11111,Rural Municipality,Province 1,Jhapa,Barhadashi Rural Municipality,37023,847,820,923,1743,1333,4225,3815,3405,8203,10786,8176,999
11112,Municipality ,Province 1,Jhapa,Birtamod Municipality,91132,2086,2019,1852,3871,2862,9055,8046,7036,19773,27389,20761,2460
11113,Rural Municipality,Province 1,Jhapa,Haldibari Rural Municipality,31915,731,707,739,1446,1093,3485,3132,2778,6629,9590,7269,862
11114,Municipality ,Province 1,Jhapa,Bhadrapur Municipality,73523,1683,1629,1471,3100,2286,7232,6418,5603,15368,21830,16547,1985
11115,Rural Municipality,Province 1,Jhapa,Kachanakawal Rural Municipality,43673,1000,967,1342,2309,1826,5874,5391,4907,9356,12128,9193,1179
